ts	uptime	events	spool	db_bytes	wal_bytes	rss_bytes	handles	threads	pid
2026-08-29T21:45:50Z	down	-	-	148713472	1985872	0	0	0	181256
2026-08-29T22:02:14Z	5m51.909s	13423	0	150175744	0	27779072	190	16	173144
2026-08-29T22:32:14Z	35m54.2s	13435	0	150282240	0	26546176	200	15	173144
2026-08-29T23:02:17Z	1h5m54.763s	13435	0	150282240	0	26574848	202	15	173144
2026-08-29T23:32:17Z	1h35m55.368s	13446	0	150298624	0	26607616	202	15	173144
2026-08-30T00:02:18Z	2h5m55.943s	13446	0	150298624	0	26759168	203	15	173144
2026-08-30T00:32:18Z	2h35m56.831s	13446	0	150298624	0	65769472	202	15	173144
2026-08-30T01:02:19Z	3h5m57.429s	13446	0	150298624	0	65888256	202	15	173144
2026-08-30T01:32:20Z	3h35m58.014s	13446	0	150298624	0	65822720	202	15	173144
2026-08-30T02:02:20Z	4h5m58.519s	13446	0	150298624	0	65867776	202	15	173144
2026-08-30T02:32:21Z	4h36m1.709s	13606	0	151851008	115392	67190784	202	15	173144
2026-08-30T02:41:01Z	4h44m42.304s	13617	0	151851008	0	67133440	202	15	187236
2026-08-30T03:02:24Z	5h6m2.774s	13617	0	151851008	0	66998272	202	15	173144
2026-08-30T03:11:01Z	5h14m42.109s	13628	0	151851008	0	67346432	202	15	187630
2026-08-30T03:41:40Z	20m4.473s	13889	0	153591808	4140632	64884736	198	15	6758
2026-08-30T03:54:29Z	32m53.303s	13927	0	154370048	374952	61194240	206	15	1592
2026-08-30T04:23:01Z	1h1m24.682s	14551	0	159293440	201912	62226432	216	16	1890
2026-08-30T04:53:01Z	1h31m24.531s	14712	0	160571392	0	61984768	214	16	2039
2026-08-30T05:23:01Z	2h1m24.604s	14730	0	161509376	0	62054400	214	16	919
2026-08-30T05:53:01Z	2h31m24.559s	14869	0	163328000	0	63029248	216	16	5995
2026-08-30T06:23:01Z	3h1m26.726s	14923	0	163328000	53592	62242816	214	16	8323
2026-08-30T06:53:01Z	3h31m24.614s	14950	0	163328000	0	61956096	214	16	123
2026-08-30T07:23:01Z	4h1m24.572s	14950	0	163328000	0	62652416	216	16	1391
2026-08-30T07:53:01Z	4h31m24.606s	14950	0	163328000	0	61681664	214	16	1462
2026-08-30T08:23:01Z	5h1m24.577s	14950	0	163328000	0	61927424	214	16	1302
2026-08-30T08:53:01Z	5h31m24.624s	14950	0	163328000	0	62459904	216	16	1813
2026-08-30T09:23:01Z	read-failed	-	-	163328000	589192	62242816	214	16	1715
2026-08-30T09:53:01Z	6h31m26.861s	15063	0	163713024	766352	64077824	214	16	914
2026-08-30T10:23:01Z	7h1m25.271s	15095	0	164220928	119512	62996480	216	16	1687
2026-08-30T10:53:01Z	7h31m27.751s	15263	0	165756928	366712	63942656	228	18	1024
2026-08-30T11:23:01Z	8h1m28.346s	15369	0	166805504	292552	64008192	228	18	6422
2026-08-30T11:53:01Z	8h31m24.93s	15579	0	168681472	251352	64905216	231	18	6184
2026-08-30T12:23:01Z	9h1m27.984s	15652	0	169492480	0	63791104	229	18	8974
2026-08-30T12:53:01Z	9h31m24.725s	15767	0	170029056	0	63635456	231	18	13637
2026-08-30T13:23:01Z	10h1m24.732s	15810	0	170389504	0	64811008	233	18	15452
2026-08-30T13:53:01Z	10h31m24.829s	15838	0	170700800	0	64638976	231	18	16743
2026-08-30T14:23:01Z	11h1m24.84s	15839	0	170700800	0	64393216	231	18	16771
2026-08-30T14:53:01Z	11h31m24.799s	15839	0	170700800	0	64827392	233	18	16850
2026-08-30T15:23:01Z	12h1m24.822s	15839	0	170700800	0	64442368	231	18	16901
2026-08-30T15:53:01Z	12h31m25.551s	15839	0	170700800	0	65826816	231	18	16929
2026-08-30T16:23:01Z	13h1m24.847s	15839	0	170700800	0	66117632	233	18	16957
2026-08-30T16:53:01Z	13h31m24.816s	15839	0	170700800	0	65777664	231	18	16985
2026-08-30T17:23:01Z	14h1m24.877s	15839	0	170700800	0	66056192	231	18	17013
2026-08-30T17:53:01Z	14h31m24.846s	15839	0	170700800	0	65875968	233	18	17041
2026-08-30T18:23:01Z	15h1m24.846s	15839	0	170700800	0	65892352	231	18	17069
2026-08-30T18:53:01Z	15h31m24.928s	15839	0	170700800	0	65736704	231	18	17122
2026-08-30T19:23:01Z	16h1m24.843s	15839	0	170700800	0	66207744	233	18	17150
2026-08-30T19:53:01Z	16h31m24.883s	15839	0	170700800	0	66183168	231	18	17178
2026-08-30T20:23:01Z	17h1m24.943s	15839	0	170700800	0	66465792	231	18	17206
2026-08-30T20:53:01Z	17h31m24.87s	15839	0	170700800	0	66576384	233	18	17234
2026-08-30T21:23:01Z	18h1m25.448s	15839	0	170700800	0	66461696	231	18	17262
2026-08-30T21:53:01Z	18h31m24.952s	15839	0	170700800	0	66650112	231	18	17290
2026-08-30T22:23:01Z	19h1m24.81s	15854	0	170852352	0	68853760	233	18	17856
2026-08-30T22:53:01Z	19h31m24.821s	15854	0	170852352	0	67039232	231	18	17884
2026-08-30T23:23:01Z	20h1m24.814s	15854	0	170852352	0	67145728	231	18	17961
2026-08-30T23:53:01Z	20h31m24.82s	15854	0	170852352	0	68952064	233	18	17989
2026-08-31T00:23:01Z	21h1m24.868s	15854	0	170852352	0	67190784	231	18	18017
2026-08-31T00:53:01Z	21h31m24.877s	15854	0	170852352	0	67436544	231	18	18045
2026-08-31T01:23:01Z	22h1m24.865s	15854	0	170852352	0	67387392	233	18	18073
2026-08-31T01:53:01Z	22h31m24.846s	15854	0	170852352	0	67420160	231	18	18101
2026-08-31T02:23:01Z	23h1m25.226s	15987	0	171749376	1252512	71651328	230	18	776
2026-08-31T02:53:02Z	23h31m26.425s	16097	0	174354432	0	69328896	231	18	1077
2026-08-31T03:23:02Z	24h1m26.408s	16097	0	174354432	0	68603904	230	18	564
2026-08-31T03:53:02Z	24h31m26.846s	16131	0	174354432	0	68685824	230	18	1633
2026-08-31T04:23:02Z	25h1m26.396s	16136	0	174354432	0	68620288	231	18	454
2026-08-31T04:53:02Z	25h31m26.448s	16159	0	174354432	0	68734976	230	18	266
2026-08-31T05:23:02Z	26h1m28.383s	16194	0	174354432	53592	69005312	230	18	1042
2026-08-31T05:53:02Z	26h31m28.334s	16249	0	174354432	0	69435392	231	18	965
2026-08-31T06:23:02Z	read-failed	-	-	174354432	-	68644864	230	18	1025
2026-08-31T06:53:02Z	27h31m30.061s	16249	0	174354432	0	64671744	230	18	285
2026-08-31T07:23:02Z	28h1m28.424s	16296	0	174661632	115392	71725056	231	18	274
2026-08-31T07:53:02Z	28h31m29.172s	16441	1	175804416	49472	70029312	230	18	4857
2026-08-31T08:23:02Z	29h1m26.961s	16500	0	175976448	0	69492736	231	18	7273
2026-08-31T08:53:02Z	29h31m26.517s	16588	0	179728384	0	70516736	232	18	10338
2026-08-31T09:23:02Z	30h1m28.92s	16588	0	179728384	0	69595136	231	18	10366
2026-08-31T09:53:02Z	30h31m26.543s	16588	0	179728384	0	69713920	231	18	10443
2026-08-31T10:23:02Z	31h1m26.572s	16615	0	179806208	2352552	71700480	232	18	11527
2026-08-31T10:53:02Z	31h31m26.571s	16626	0	180387840	436752	70098944	231	18	11980
2026-08-31T11:23:02Z	32h1m29.98s	16654	0	180387840	0	69943296	231	18	12981
2026-08-31T11:53:02Z	32h31m30.019s	16688	0	180387840	329632	71204864	232	18	14345
2026-08-31T12:23:01Z	33h1m29.367s	16708	0	180625408	0	70184960	231	18	15168
2026-08-31T12:53:01Z	read-failed	-	-	180625408	-	70057984	231	18	15196
2026-08-31T13:23:01Z	34h1m25.809s	16715	0	180625408	0	67059712	233	18	15475
2026-08-31T13:53:01Z	34h31m25.601s	16715	0	180625408	0	71847936	234	18	15503
2026-08-31T14:23:01Z	35h1m25.641s	16715	0	180625408	0	70328320	232	18	15531
2026-08-31T14:53:01Z	35h31m25.635s	16715	0	180625408	0	72376320	235	18	15584
2026-08-31T15:23:01Z	read-failed	-	-	180625408	-	72024064	238	18	15612
2026-08-31T15:53:01Z	read-failed	-	-	180625408	-	66330624	232	18	15631
2026-08-31T16:23:02Z	read-failed	-	-	180625408	-	66342912	232	18	15650
2026-08-31T16:53:01Z	37h31m29.999s	16716	0	180625408	0	68055040	235	18	15669
2026-08-31T17:23:01Z	38h1m25.802s	16716	0	180625408	0	70434816	233	18	15697
2026-08-31T17:53:01Z	38h31m25.817s	16716	0	180625408	0	70590464	233	18	15725
